      t = 0.010000
      m = 0.078524
         n            rho            x_0            x_1            v_0            v_1            a_0            a_1
       208       999.8042       0.470488      0.6365281              0     -0.0976095              0          -9.81
       209       999.9948      0.4801829      0.6319783  -3.208706e-05    -0.09744676   -0.005756471      -9.794379
       210       1000.379      0.4900581      0.6301076   5.633257e-05    -0.09720073    0.008964604      -9.774296
       211       1000.272      0.5001998      0.6400092  -3.986624e-05    -0.09765884   -0.003868733       -9.81492
       212       1000.153      0.5098402      0.6401725   3.918476e-05    -0.09760982    0.003796569      -9.810119
       213       999.9844      0.5197884      0.6425369  -1.041198e-07    -0.09760626  -8.111103e-06      -9.809681
       214       999.8042      0.5289117      0.6468287  -5.736638e-08    -0.09760953              0          -9.81
       215       999.8042      0.5374432      0.6523274  -8.581415e-09    -0.09760951              0          -9.81
       216       1001.523      0.5453376      0.6603156  -0.0005363992    -0.09827139    -0.04817478      -9.869445
       217       1001.523      0.5512445      0.6676045    0.000536271    -0.09694769     0.04817478      -9.750555
       218       1000.168      0.5555733       0.677338  -1.022153e-05    -0.09763978   -0.000989503      -9.812933
       219       1000.168      0.5586534      0.6864689   1.019926e-05    -0.09757927    0.000989503      -9.807067
       220       999.8484      0.5594959       0.697313  -1.111699e-07    -0.09760574  -1.156136e-05      -9.809628
       221       999.9925       0.559214      0.7071306  -4.783822e-07    -0.09761021  -4.652509e-05      -9.810071
       222       999.9483        0.55732      0.7166789   6.148086e-07    -0.09761254   5.930319e-05      -9.810298
       223       999.9433      0.5535754      0.7260717  -2.473174e-05    -0.09762216   -0.002502394      -9.811046
       224        1000.27      0.5487395      0.7349873  -5.598482e-05    -0.09764771   -0.005385543      -9.813691
       225       999.8143      0.5410663      0.7429769  -2.468311e-06    -0.09760733  -0.0002416873      -9.809787
       226       999.8143      0.5336485      0.7495201   2.418002e-06    -0.09761163   0.0002416873      -9.810213
       227       999.8042      0.5247141      0.7544332              0     -0.0976095              0          -9.81
       228       1002.526      0.5146791      0.7577721    0.001988388    -0.09786537      0.1668295      -9.831464
       229       1002.526      0.5054779      0.7589447   -0.001987035    -0.09735375     -0.1665728      -9.788533
       230       1000.145      0.4952115      0.7588948  -3.949881e-05    -0.09733435   -0.007044673      -9.784734
       231        1001.84      0.4845368      0.7575252    0.001050863    -0.09727855      0.0918955      -9.781314
       232       1001.787      0.4757304      0.7543812    -0.00106134    -0.09798985    -0.09390947      -9.843803
       233       999.8156      0.4664515      0.7489201  -2.859224e-06    -0.09761149   -0.000285655      -9.810199
       234       999.8156      0.4583337      0.7432769   2.857946e-06    -0.09760751    0.000285655      -9.809801
       235       999.8346      0.4516102      0.7349875  -3.005638e-06    -0.09761468  -0.0002986536      -9.810515
       236       999.8346      0.4466745      0.7264718   2.931857e-06    -0.09760428   0.0002986536      -9.809485
       237       999.8319      0.4428799      0.7166789  -1.247721e-05    -0.09760721   -0.001348704      -9.810097
       238       999.8048       0.440586      0.7068306   -4.90632e-08    -0.09761006  -4.827948e-06      -9.810054
       239       999.8048      0.4397041       0.696913   4.799615e-08    -0.09760896   4.827948e-06      -9.809946
       240       1000.182      0.4413466      0.6865689  -1.672701e-05    -0.09757004   -0.001724928       -9.80628
       241        1000.26      0.4448264      0.6775877  -4.450015e-05    -0.09769732   -0.003792857      -9.819385
       242       1000.471      0.4493077      0.6680015  -0.0001164845    -0.09752667    -0.01126072      -9.802394
       243       1000.827      0.4551594       0.660368  -5.950095e-05    -0.09779866   -0.005581357      -9.827759
       244       999.8042      0.4618568      0.6527774  -9.375108e-09    -0.09760949              0          -9.81
       245       999.8042      0.4703383      0.6474787  -2.124166e-08    -0.09760949              0          -9.81
       246       999.8042      0.4799616      0.6425869              0     -0.0976095              0          -9.81
       247       999.8042        0.48966      0.6401225    3.64344e-10    -0.09760952              0          -9.81
       248       1000.761      0.5003498      0.6497588  -3.928843e-05    -0.09774697   -0.003735603       -9.82268
       249       999.9684      0.5100651       0.650133    4.09093e-05    -0.09760974    0.003981934      -9.810206
       250       1000.045      0.5198677      0.6538116  -1.650443e-05     -0.0976181   -0.001625801      -9.810852
