            x_0            x_1
      0.5313169      0.7230604
      0.5230724      0.7300602
      0.5150711      0.7348324
      0.5053633      0.7372922
      0.4946973      0.7374447
      0.4855144      0.7352462
      0.4767386      0.7304682
      0.4695295      0.7236546
      0.4638113      0.7150867
      0.4608589       0.705306
      0.4596285      0.6958428
      0.4620578      0.6858467
      0.4663768      0.6770746
      0.4730668      0.6685496
       0.480965      0.6628105
      0.4897685      0.6595082
         0.4997      0.6676578
      0.5106588      0.6703658
      0.5189354      0.6751773
      0.5255308      0.6828576
      0.5297442      0.6930481
      0.5298442       0.703117
      0.5256929      0.7130645
      0.5197266      0.7212132
      0.5097606      0.7261983
        0.50035      0.7285576
      0.4894393      0.7261482
      0.4808164      0.7212889
      0.4737194      0.7129581
      0.4708056      0.7037665
      0.4705558      0.6923481
      0.4741692      0.6833076
      0.4803664      0.6749763
      0.4899394      0.6695668
         0.5004      0.6783076
           0.51      0.6808371
      0.5172205      0.6878576
        0.52045      0.6980576
      0.5175084      0.7084007
         0.5096      0.7154781
        0.49975      0.7184076
        0.49005      0.7152281
      0.4824295      0.7076075
         0.4805      0.6979076
      0.4825295      0.6883577
         0.4898      0.6812371
        0.50025      0.6884421
      0.5097114      0.6952673
      0.5056295      0.7059004
       0.494621      0.7057995
      0.4899894      0.6949674
      0.5002487      0.6978687
